content,score,at
Mendukung isruul,1,2025-01-19 13:25:14
Boycott!,1,2025-01-19 12:56:24
"Malamnya byr langganan,paginya ga bisa di tonton..tlong trf kembali uang sya ?? Aplikasi PENIPU!!!!!!!",1,2025-01-19 09:15:33
Jelek bgt. Rugi nyoba langganan disini.,1,2025-01-19 01:02:39
Cepet donglot ya,5,2025-01-19 00:20:16
Black out,1,2025-01-18 23:38:30
saya belum coba aplikasi nya tapi saya yakin aplikasi ini bisa menjadi yang terbaik,4,2025-01-18 21:52:40
"Cuih, bayar doang apk ga di urus, bug udah 2 hari blum di fix, masa suruh denger audio doang kontol, percuma bayar",1,2025-01-18 21:20:04
lumayan boy,4,2025-01-18 16:18:11
"tampilannya hd, cuma pas rewatch beberapa film ada scene yg ke potong, jadi males lanjut nonton karna ga nyambung, 65rb rugi sih mending netflix",3,2025-01-18 14:16:59
😡😡😡😡😡😡😡😡😡😡😡😡😡,1,2025-01-18 06:18:23
india semua jir,1,2025-01-17 13:52:42
Gawwwd deyemm,1,2025-01-17 11:37:48
BOYCOTT 👊😒,1,2025-01-16 23:52:17
Di perangkat tablet Huawei tidak bisa di download karena tidak tersedia di negara andda. Padahal di HP & device lain tersedia.,1,2025-01-16 23:52:04
Apk tidak bisa di buka,1,2025-01-16 19:21:36
tidak bisa berlangganan payah ini aplikasi,1,2025-01-16 18:30:38
Ini kenapa Disney+ gua gabisa dibuka ya? Tulisannya karena vpn/proxy padahal ngerasa gapernah pake vpn... pls banget inimah:))),1,2025-01-16 11:13:45
nyari harry Potter aja gak muncul gak di temukan apaaan NAJIS Udah berlangganan padahal Acuih,1,2025-01-16 04:57:24
"setelah melihat penilaian orang-orang, saya tidak jadi berlangganan aplikasi ini🤣",1,2025-01-16 03:27:44
Pas nonton sering nge leg padahal udah vip,1,2025-01-16 03:19:18
"Aplikasi sampah, sudah langganan gak bisa di buka",1,2025-01-15 20:45:52
No komen,1,2025-01-15 17:38:14
Gua sih gak papa yang penting bisa nonton film,5,2025-01-15 17:03:25
Udah masukin kode otp yg benar tapi tetap tidak bisa log in,1,2025-01-15 10:11:15
"knp ya pdhln udh bner nmor tlvn nya kok gada masuk kode Verifikasi otp nya, udh coba hps apk nya trs donwload lgi percuma!!",1,2025-01-15 09:34:48
Best,1,2025-01-15 08:14:39
"Padahal film nya bagus"" tpi sayang bngt dikit"" loading terusssssssss",2,2025-01-14 21:32:20
Lumayan kalau lagi senggang buat nonton film,5,2025-01-14 21:17:57
"Ini aplikasi apaan sih ada suaranya gaada gambarnya, berkali kali hapus aplikasi terus di instal ulang tetep gambar ga muncul, udah ganti jaringan wifi ke data tetep eror, kapok lah baru pertama kali langganan disney gamau langganan lagi mending pakai aplikasi sebelah gapernah eror trs login lebih simple ga pake otp"" segala",1,2025-01-14 20:07:42
Apk g guna. Udh daftar udah masukin kode gk bisa juga,1,2025-01-14 19:09:35
"Berlangganan melalui paket Indihome. Tiba2 dinyatakan stop berlangganan. Padahal bayaran masih pakai harga paket Disney. Lapor Sabtu, Senin di follow up dari Indihome. Masih tidak bisa nonton Disney.",1,2025-01-14 18:27:42
So many bug. Black screen with subs and sound. 😒,2,2025-01-14 17:35:29
NAJIS JIYONIS,1,2025-01-14 14:18:14
"Ikutan ah bintang 1 mau langgana rating jelek gak jadi,",1,2025-01-14 12:01:50
"Mantap, bisa nonton Marvel series",5,2025-01-14 06:04:22
"kenapa tdk ada gambarnya terus setiap di setel, sudah uninstal trus instal lagi tetep kaya gitu , layar gelap suara film ada",2,2025-01-13 23:09:15
"PADAHAL BELUM PAS WAKTUNYA, MAIN POTONG SALDO AJA",1,2025-01-13 22:16:03
Mahalll,1,2025-01-13 16:04:39
"Bagus. Dub Indonesia nya juga mantap. Gak rugi langganan di sini. Tapi coba tolong brightness nya lebih diterangi, gelap banget soalnya. Lampu hp udah mentok tetap gelap.",5,2025-01-13 14:08:17
Lemotttt,1,2025-01-13 11:39:47
"sayang bngt udah di paketn malah gk bisa masuk apes"" melayang",1,2025-01-13 05:28:02
Sudah berhari-hari kalau mau nonton filmnya gak ada gambar tapi ada suara. Ada apakah dgn Disney+Hotstar? Tolong segera diatasi.,1,2025-01-12 18:35:52
login saja susah,1,2025-01-12 10:09:27
Aku pengen nonton tapi harus banget langganan aku cuma mau nonton harus banget ya bayar udah gitu mahal lagi 65RB aku gak mau langganan cuma mau nonton,1,2025-01-12 09:29:25
gabisa login,1,2025-01-12 07:30:47
